@relation InstanceResultListener

@attribute Key_Dataset {car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.meta.AdaBoostM1,weka.classifiers.lazy.IBk,weka.classifiers.functions.LibSVM,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files (x86)\\\\Weka-3-8\" -seed 1','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,-1178107808933117974,-3080186098777067172,14172,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 75\nSize of the tree: 103\n','Number of leaves: 90\nSize of the tree: 125\n','Number of leaves: 91\nSize of the tree: 127\n','Number of leaves: 88\nSize of the tree: 121\n','Number of leaves: 84\nSize of the tree: 116\n','Number of leaves: 95\nSize of the tree: 131\n','Number of leaves: 93\nSize of the tree: 129\n','Number of leaves: 92\nSize of the tree: 127\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,104,17,0,85.950413,14.049587,0,0.691188,0.067625,0.208824,29.641971,61.986219,144.467111,1114.106353,-969.639243,1.193943,9.207491,-8.013547,104.637306,0.864771,72.429846,0.929412,79,0.138889,5,0.861111,31,0.070588,6,0.940476,0.929412,0.934911,0.784395,0.974346,0.988488,0.859504,0.12187,0.87813,0.140496,0.870582,0.859504,0.858997,0.73507,0.971193,0.939844,0.71869,0.859504,0,0,0,0,0,0,26409,94622,12512,99.173554,33.264463,'Number of leaves: 75\nSize of the tree: 103\n',103,75,75
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,112,9,0,92.561983,7.438017,0,0.83785,0.038633,0.155836,16.933911,46.257502,144.467111,24.944718,119.522393,1.193943,0.206155,0.987788,121.513004,1.00424,84.111189,0.952941,81,0.055556,2,0.944444,34,0.047059,4,0.975904,0.952941,0.964286,0.883912,0.993137,0.997004,0.92562,0.053626,0.946374,0.07438,0.93162,0.92562,0.92485,0.860285,0.99223,0.982115,0.823255,0.92562,0,0,0,0,0,0,31261,94622,12512,100,29.752066,'Number of leaves: 90\nSize of the tree: 125\n',125,90,90
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,104,17,0,85.950413,14.049587,0,0.693762,0.066859,0.209063,29.305973,62.057157,144.467111,3252.824231,-3108.35712,1.193943,26.882845,-25.688902,104.54551,0.864012,72.366305,0.917647,78,0.138889,5,0.861111,31,0.082353,7,0.939759,0.917647,0.928571,0.767066,0.964052,0.977977,0.859504,0.121944,0.878056,0.140496,0.864351,0.859504,0.860325,0.727622,0.955664,0.917272,0.722701,0.859504,0,0,0,0,0,0,31705,94622,12512,97.520661,32.024793,'Number of leaves: 91\nSize of the tree: 127\n',127,91,91
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,111,10,0,91.735537,8.264463,0,0.814246,0.049081,0.169874,21.512599,50.421887,144.578366,1099.339132,-954.760766,1.194863,9.085447,-7.890585,118.266554,0.97741,81.801003,0.988235,84,0.111111,4,0.888889,32,0.011765,1,0.954545,0.988235,0.971098,0.900375,0.979085,0.984899,0.917355,0.084226,0.915774,0.082645,0.929418,0.917355,0.915886,0.85924,0.976105,0.958225,0.792094,0.917355,0,0,0,0,0,0,30373,94622,12512,99.173554,30.991736,'Number of leaves: 88\nSize of the tree: 121\n',121,88,88
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,105,16,0,86.77686,13.22314,0,0.722318,0.063947,0.213088,28.02834,63.248377,144.578366,6468.357804,-6323.779438,1.194863,53.457503,-52.26264,102.045854,0.843354,70.58169,0.905882,77,0.055556,2,0.944444,34,0.094118,8,0.974684,0.905882,0.939024,0.816598,0.973529,0.986512,0.867769,0.063969,0.936031,0.132231,0.881462,0.867769,0.871044,0.770003,0.962679,0.932219,0.660644,0.867769,0,0,0,0,0,0,29275,94622,12512,95.041322,31.198347,'Number of leaves: 84\nSize of the tree: 116\n',116,84,84
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,105,16,0,86.77686,13.22314,0,0.701603,0.076495,0.227493,33.430591,67.302258,147.012803,4332.854157,-4185.841354,1.214982,35.808712,-34.59373,98.327333,0.812623,66.883517,0.941176,80,0.194444,7,0.805556,29,0.058824,5,0.91954,0.941176,0.930233,0.759498,0.964869,0.98445,0.867769,0.15695,0.84305,0.132231,0.874411,0.867769,0.866662,0.730108,0.952326,0.908802,0.783484,0.867769,0,0,0,0,0,0,29275,94622,12512,96.694215,33.057851,'Number of leaves: 84\nSize of the tree: 116\n',116,84,84
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,111,10,0,91.735537,8.264463,0,0.824866,0.049929,0.179574,21.820485,53.125738,147.012803,2173.04955,-2026.036747,1.214982,17.959087,-16.744105,119.993643,0.991683,81.62122,0.941176,80,0.055556,2,0.944444,34,0.058824,5,0.97561,0.941176,0.958084,0.866302,0.987582,0.993565,0.917355,0.051405,0.948595,0.082645,0.923004,0.917355,0.918915,0.844091,0.981196,0.949984,0.855401,0.917355,0,0,0,0,0,0,32577,94622,12512,98.347107,30.578512,'Number of leaves: 95\nSize of the tree: 131\n',131,95,95
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1087,121,109,12,0,90.082645,9.917355,0,0.793838,0.054357,0.191746,23.575043,56.243365,148.665435,4317.266355,-4168.60092,1.22864,35.679887,-34.451247,117.187226,0.968489,78.826141,0.940476,79,0.054054,2,0.945946,35,0.059524,5,0.975309,0.940476,0.957576,0.868178,0.97796,0.989651,0.900826,0.051175,0.948825,0.099174,0.910053,0.900826,0.904182,0.829578,0.969305,0.929641,0.791582,0.900826,0,0,0,0,0,0,32141,94622,12512,96.694215,29.958678,'Number of leaves: 93\nSize of the tree: 129\n',129,93,93
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180905.212,1088,120,113,7,0,94.166667,5.833333,0,0.871795,0.039119,0.148915,17.103914,44.077492,143.9511,2164.111684,-2020.160584,1.199593,18.034264,-16.834672,119.450906,0.995424,82.980197,0.97619,82,0.055556,2,0.944444,34,0.02381,2,0.97619,0.97619,0.97619,0.920635,0.993882,0.997037,0.941667,0.046797,0.953203,0.058333,0.940476,0.941667,0.940657,0.895106,0.983956,0.955313,0.825487,0.941667,0,0,0,0,0,0,31697,94707,12427,98.333333,30.833333,'Number of leaves: 92\nSize of the tree: 127\n',127,92,92
